timestamp,sensor_name,value,is_anomaly,anomaly_score,detection_method,severity,attack_type
2019-07-20 07:08:46.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:47.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:48.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:49.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:50.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:51.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:52.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:53.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:54.001007+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:55.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:56.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:57.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:58.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:08:59.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:00.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:01.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:02.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:03.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:04.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:05.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:06.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:07.006011+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:08.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:09.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:10.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:11.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:12.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:13.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:14.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:15.001007+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:16.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:17.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:18.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:19.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:20.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:21.003005+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:22.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:23.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:24.004013+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:25.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:26.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:27.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:28.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:29.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:30.002014+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
2019-07-20 07:09:31.005004+00:00,"P101.Status,FIT101.Pv",0.0,True,10.0,rule_based_logic,high,PUMP_FLOW_MISMATCH
